X	3298181	3305845	38	7664
X	5145219	5155027	39	9808
X	5515553	5528078	38	12525
X	5755358	5761928	30	6570
X	6864068	6882276	31	18208
X	7077274	7110523	21	33249
X	8605932	8614645	25	8713
X	14964552	14991347	23	26795
X	16338255	16346841	20	8586
X	16533245	16540323	21	7078
X	23628588	23637493	30	8905
X	23649776	23652056	20	2280
X	25519809	25537608	23	17799
X	26131451	26138942	20	7491
X	26353338	26436675	75	83337
X	27698185	27706249	23	8064
X	30277207	30281214	20	4007
X	30281405	30288055	25	6650
X	35802579	35810248	22	7669
X	37855798	37874933	27	19135
X	38521067	38535227	58	14160
X	38537667	38551507	57	13840
X	41693483	41823403	21	129920
X	42797512	42820773	32	23261
X	42957179	42970742	22	13563
X	43576299	43596745	20	20446
X	50881111	50894692	25	13581
X	51996352	52038768	23	42416
X	52077579	52176010	201	98431
X	54870374	54891595	21	21221
X	55188789	55242657	21	53868
X	55931752	55997823	35	66071
X	56398584	56427835	25	29251
X	56836312	56910748	88	74436
X	64023093	64088957	24	65864
X	64214900	64355159	25	140259
X	64706373	64792316	22	85943
X	65895395	65973176	26	77781
X	66224429	66297281	31	72852
X	66383989	66436402	32	52413
X	66946322	67010696	21	64374
X	67048532	67104024	58	55492
X	67141427	67203161	25	61734
X	67223053	67278870	23	55817
X	67292261	67356482	21	64221
X	70561035	70614394	33	53359
X	71888797	71904730	32	15933
X	72263486	72271033	20	7547
X	73454218	73513973	39	59755
X	74252475	74303500	48	51025
X	74616843	74666811	43	49968
X	74887205	74918396	26	31191
X	75059769	75195015	25	135246
X	75323560	75419767	60	96207
X	76104892	76137555	34	32663
X	76222900	76251614	22	28714
X	76268670	76292698	31	24028
X	76294500	76320382	30	25882
X	76484974	76516108	24	31134
X	76556404	76576527	21	20123
X	76580755	76646896	50	66141
X	76681567	76714546	30	32979
X	76715841	76749224	42	33383
X	76784635	76835783	72	51148
X	76844441	76872726	38	28285
X	76880333	76921806	60	41473
X	76922171	76982235	25	60064
X	76982819	77016105	20	33286
X	77020320	77040965	23	20645
X	77072791	77109624	37	36833
X	78135525	78215689	39	80164
X	79840745	79845115	46	4370
X	79845349	79849004	22	3655
X	79856602	79862792	27	6190
X	80138941	80170828	21	31887
X	80933447	80959715	29	26268
X	81434134	81488242	87	54108
X	81532411	81564460	21	32049
X	81839256	81862244	21	22988
X	82466400	82495873	20	29473
X	82961692	82990332	65	28640
X	84016929	84060958	21	44029
X	84408787	84424791	23	16004
X	84513425	84538046	49	24621
X	84749564	84764366	36	14802
X	85256627	85301215	29	44588
X	85463400	85470937	31	7537
X	85612204	85618732	29	6528
X	85620797	85624597	27	3800
X	85627477	85646091	32	18614
X	85943059	85961291	32	18232
X	86117691	86131802	21	14111
X	86628227	86647839	36	19612
X	86870242	86901904	23	31662
X	87144948	87161008	22	16060
X	87184735	87190576	26	5841
X	88273485	88281668	26	8183
X	88471702	88482234	55	10532
X	88487885	88503209	83	15324
X	88677172	88710056	22	32884
X	89731881	89740325	27	8444
X	91547425	91575902	37	28477
X	93448725	93457120	23	8395
X	94467763	94480265	30	12502
X	95143280	95154189	29	10909
X	95862227	95886259	70	24032
X	95976527	95986369	21	9842
X	101800900	101832078	24	31178
X	102006687	102039149	52	32462
X	102048540	102069890	20	21350
X	102772572	102915555	21	142983
X	105336174	105359563	31	23389
X	105822592	105954530	34	131938
X	108440334	108558159	49	117825
X	108558380	108623212	43	64832
X	108624068	108656147	34	32079
X	108836553	108849137	24	12584
X	109003307	109054975	34	51668
X	109068571	109079923	34	11352
X	110601623	110646434	79	44811
X	110648809	110665385	24	16576
X	114715707	114727001	21	11294
X	114833308	114903624	58	70316
X	116382829	116393116	28	10287
X	117249614	117265264	28	15650
X	117311386	117320194	22	8808
X	117406773	117414644	48	7871
X	117630676	117637680	24	7004
X	117648134	117658636	26	10502
X	117721047	117725932	26	4885
X	118370100	118428003	45	57903
X	119744514	119750326	37	5812
X	121181886	121190575	28	8689
X	121363364	121369288	21	5924
X	121372091	121384629	54	12538
X	122546012	122549306	22	3294
X	125267835	125286223	41	18388
X	125370536	125375346	26	4810
X	126063680	126089116	39	25436
X	127276154	127292725	30	16571
X	127305477	127316214	26	10737
X	127318756	127354039	31	35283
X	127451209	127501414	23	50205
X	127841760	127853488	37	11728
X	127992562	128006439	40	13877
X	137765019	137829203	49	64184
X	139997055	140006172	48	9117
X	143350245	143358234	22	7989
