2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	High light scatter reticulocyte percentage of red cells	170,763 European ancestry individuals	NA	9p13.3	9	34057211	intergenic	RN7SKP114 - DCAF12	ENSG00000222259	ENSG00000198876		6967	29176	rs34756862-T	rs34756862	0	34756862	intergenic_variant	1	0.3611	2E-13	12.698970004336019		0.02819336	[0.021-0.036] unit decrease	Affymetrix [~ 2500000] (imputed)	N
2017-08-30	27863252	Astle WJ	2016-11-17	Cell	www.ncbi.nlm.nih.gov/pubmed/27863252	The Allelic Landscape of Human Blood Cell Trait Variation and Links to Common Complex Disease.	High light scatter reticulocyte percentage of red cells	170,763 European ancestry individuals	NA	4q31.21	4	143992106	RP11-673E1.4	GYPE - GYPB	ENSG00000197465	ENSG00000250361		86543	3998	rs4323050-C	rs4323050	0	4323050	intron_variant	1	0.6911	1E-59	59.0		0.06314941	[0.056-0.071] unit increase	Affymetrix [~ 2500000] (imputed)	N
2017-06-02	28060188	Hamet P	2017-01-16	J Hypertens	www.ncbi.nlm.nih.gov/pubmed/28060188	PROX1 gene CC genotype as a major determinant of early onset of type 2 diabetes in slavic study participants from Action in Diabetes and Vascular Disease: Preterax and Diamicron MR Controlled Evaluation study.	Type 2 diabetes (age of onset)	2,307 Celtic ancestry individuals, 1,102 Slavic ancestry individuals	NA	3p21.1	3	52860127	TMEM110, MIR8064, SFMBT1	STIMATE-MUSTN1, STIMATE			ENSG00000248592, ENSG00000213533			rs34428389-?	rs34428389	1	11295589	intron_variant	0	NR	8E-6	5.096910013008056				Affymetrix [5045527] (imputed)	N
2018-03-23	29391396	McElroy SL	2018-02-02	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29391396	Bipolar disorder with binge eating behavior: a genome-wide association study implicates PRR5-ARHGAP8.	Binge eating behaviour in bipolar disorder	398 European ancestry bipolar disorder cases, 1,231 European ancestry bipolar disorder controls	NA	2q23.3	2	149675023	LOC101929321	MMADHC-DT			ENSG00000231969			rs182107583-C	rs182107583	0	182107583	intron_variant	0	0.04	1E-6	6.0		3.2258062	[NR]	Affymetrix, Illumina [8000000] (imputed)	N
2017-04-23	27595289	Goyal RK	2016-09-05	Bone Marrow Transplant	www.ncbi.nlm.nih.gov/pubmed/27595289	Novel HLA-DP region susceptibility loci associated with severe acute GvHD.	Acute graft versus host disease in bone marrow transplantation (recipient effect)	291 European ancestry recipients with acute graft versus host disease, 288 European ancestry recipients without acute graft versus host disease	NA	12q14.3	12	64936986	FLJ41278	LINC02231, LINC02389			ENSG00000248995, ENSG00000255693			rs465530-?	rs465530	0	465530	intron_variant	0	NR	4E-8	7.3979400086720375				Affymetrix [905761]	N
2017-02-10	27569725	Yang SK	2016-08-25	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/27569725	Identification of Loci at 1q21 and 16q23 That Affect Susceptibility to Inflammatory Bowel Disease in Koreans.	Inflammatory bowel disease	1,505 Korean ancestry cases, 4,041 Korean ancestry controls	1,989 Korean ancestry cases, 3,491 Korean ancestry controls	6q27	6	166960059	CCR6, RPS6KA2	RNASET2 - MIR3939	ENSG00000026297	ENSG00000265828		2868	37748	rs1819333-C	rs1819333	0	1819333	intergenic_variant	1	0.39	1E-6	6.0				Illumina [522285]	N
2021-07-19	33075057	Li X	2020-10-19	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/33075057	Automated feature extraction from population wearable device data identified novel loci associated with sleep and circadian rhythms.	Sleep (1/3-day periodicity)	90,515 individuals	NA	13q34	13	113552798	TMCO3	TMCO3			ENSG00000150403			rs182147357-A	rs182147357	0	182147357	3_prime_UTR_variant	0	NR	8E-9	8.096910013008056		0.454	[0.3-0.61] unit increase	NR [11024754] (imputed)	N
2019-12-23	31740837	Lam M	2019-11-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/31740837	Comparative genetic architectures of schizophrenia in East Asian and European populations.	Schizophrenia	22,778 East Asian ancestry cases, 35,362 East Asian ancestry controls, 33,640 European ancestry cases, 43,456 European ancestry controls	NA	7q31.1	7	110434219	NR							rs9656169-?	rs9656169	0	9656169	intron_variant	1	NR	3E-8	7.522878745280337		1.0536964	[1.04-1.07]	Affymetrix, Illumina [12447948] (imputed)	N
2019-03-07	30578418	Giri A	2018-12-21	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30578418	Trans-ethnic association study of blood pressure determinants in over 750,000 individuals.	Pulse pressure	365,998 European ancestry individuals, 63,490 African ancestry individuals, 22,802 Hispanic individuals, 4,792 Asian ancestry individuals, 2,695 Native American ancestry individuals	299,024 European ancestry individuals, 17,277 individuals	21q22.2	21	38611524	ERG	ERG			ENSG00000157554			rs117870289-T	rs117870289	0	117870289	intron_variant	0	0.0132	2E-10	9.698970004336019		0.9026	[0.63-1.18] mmHg increase	Affymetrix [NR] (imputed)	N
2020-02-07	31761296	Hernandez Cordero AI	2019-11-21	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/31761296	Genome-wide Associations Reveal Human-Mouse Genetic Convergence and Modifiers of Myogenesis, CPNE1 and STC2.	Appendicular lean mass	181,862 European ancestry elderly individuals	NA	4q26	4	119325534	NR	FABP2 - KLHL2P1	ENSG00000145384	ENSG00000250412		3396	8795	rs185481756-C	rs185481756	0	185481756	intergenic_variant	1	0.312545	2E-12	11.698970004336019		0.0525631	[0.038-0.067] unit increase	Affymetrix [17914406] (imputed)	N
