1	1221960	2476	669	57	35.8	0.0	4.12	0.00	0.00	0.00	20.5	20.3	5.08	4.99	0.50	0.08	0.0	42.1	0.18	9.47	1.00	0.00	
1	4008806	1995	1033	174	33.3	0.0	4.05	0.00	0.00	0.00	18.4	17.9	4.82	4.70	0.49	0.09	0.0	36.0	0.13	6.82	1.00	0.00	
1	4036476	2345	547	310	30.8	0.0	5.25	0.00	0.00	0.00	15.4	15.7	4.22	4.21	0.51	0.09	0.0	31.9	0.13	6.96	1.00	0.00	
1	4472456	2585	571	46	30.6	0.0	5.18	0.00	0.00	0.00	16.0	16.2	4.16	4.11	0.50	0.08	0.0	33.8	0.15	6.00	1.00	0.00	
1	4536474	461	1198	1543	30.7	0.0	5.00	0.00	0.00	0.00	16.4	16.0	4.50	4.30	0.49	0.09	0.0	32.3	0.07	6.73	1.00	0.00	
1	4585818	102	842	2258	31.5	0.0	5.48	0.00	0.00	0.00	16.8	17.1	4.62	4.23	0.51	0.09	0.0	33.9	0.05	6.61	1.00	0.00	
1	4850862	2513	612	77	31.0	0.0	4.90	0.00	0.00	0.00	16.9	16.6	4.96	4.37	0.50	0.09	0.0	32.9	0.11	7.10	1.00	0.00	
1	4857594	711	1543	948	29.7	0.0	5.32	0.00	0.00	0.00	15.5	15.2	4.32	4.23	0.50	0.09	0.0	30.7	0.06	6.25	1.00	0.00	
1	5670249	1	3201	0	38.0	0.0	0.00	0.00	0.00	0.00	37.1	25.0	7.30	9.61	0.39	0.10	0.0	0.0	0.00	0.00	0.00	0.00	
1	5672007	1	3201	0	33.0	0.0	0.00	0.00	0.00	0.00	32.9	28.0	6.70	10.02	0.45	0.10	0.0	0.0	0.00	0.00	0.00	0.00	
1	5733928	2541	602	59	32.5	0.0	4.89	0.00	0.00	0.00	17.5	17.6	4.75	4.68	0.50	0.09	0.0	35.4	0.18	7.80	1.00	0.01	
1	11064828	721	1131	1350	35.9	0.0	6.39	0.00	0.00	0.00	15.8	15.0	4.56	4.17	0.49	0.09	0.0	30.1	0.05	6.22	1.00	0.00	
1	11074437	2499	653	50	33.7	0.0	5.49	0.00	0.00	0.00	16.3	14.9	4.45	4.32	0.48	0.09	0.0	29.2	0.00	5.51	1.00	0.00	
1	11807680	2573	587	42	32.3	0.0	4.59	0.00	0.00	0.00	17.5	17.5	4.78	4.56	0.50	0.09	0.0	35.2	0.00	5.92	1.00	0.00	
1	11888603	925	1518	759	33.5	0.0	4.12	0.00	0.00	0.00	18.2	18.2	4.71	4.66	0.50	0.09	0.0	36.3	0.15	7.02	1.00	0.00	
1	13641349	2425	694	83	32.0	0.0	4.67	0.00	0.00	0.00	17.4	16.7	4.34	4.52	0.49	0.09	0.0	33.5	0.19	6.83	1.00	0.01	
