19	58346805	58353499	A1BG
19	58351969	58355183	A1BG-AS1
10	50799408	50885625	A1CF
12	9067707	9115948	A2M
12	9065176	9068055	A2M-AS1
12	8822471	8875929	A2ML1
12	9228532	9234207	A2MP1
1	33306765	33321098	A3GALT2
22	42692111	42694984	A4GALT
3	138123717	138132387	A4GNT
17	33529786	33533760	AA06
12	53307455	53321585	AAAS
12	125065366	125143320	AACS
5	178764860	178818435	AACSP1
3	151814007	151828488	AADAC
3	151733915	151757768	AADACL2
3	151751178	151928175	AADACL2-AS1
1	12716114	12728759	AADACL3
1	12644546	12667076	AADACL4
3	151770455	151784894	AADACP1
4	170060221	170084992	AADAT
9	96641250	96655312	AAED1
15	67200674	67254651	AAGAB
2	69457994	69643845	AAK1
11	77821113	77872352	AAMDC
2	218264126	218270181	AAMP
17	76453350	76470117	AANAT
20	36236135	36256934	AAR2
8	116938224	116944000	AARD
16	70252294	70289509	AARS
6	44297849	44313180	AARS2
17	42950525	42964498	AARSD1
4	56337686	56387508	AASDH
11	106077564	106081844	AASDHPPT
7	122073543	122144269	AASS
21	43805757	43812567	AATBC
17	36948874	37056871	AATF
17	81117294	81127012	AATK
20	31721506	31723409	ABALON
16	8674586	8783833	ABAT
9	104781001	104890289	ABCA1
17	69148006	69244815	ABCA10
4	425434	474209	ABCA11P
2	214931541	215032086	ABCA12
7	48171423	48292910	ABCA13
16	2340921	2426699	ABCA17P
9	137007233	137028140	ABCA2
16	2275877	2340746	ABCA3
1	93992836	94121149	ABCA4
17	69244434	69315633	ABCA5
17	69062043	69113704	ABCA6
19	1040102	1055941	ABCA7
17	68867284	68955384	ABCA8
17	68974631	69045261	ABCA9
17	69004713	69018323	ABCA9-AS1
7	87503862	87600888	ABCB1
1	229516581	229549434	ABCB10
2	168915467	168972032	ABCB11
7	87398987	87453032	ABCB4
7	20615621	20660394	ABCB5
2	219209765	219219017	ABCB6
X	75053279	75156340	ABCB7
7	151028421	151047782	ABCB8
12	122917323	122953265	ABCB9
16	15949576	16104485	ABCC1
6	43427537	43444186	ABCC10
16	48164841	48204569	ABCC11
16	48082972	48146770	ABCC12
21	14273798	14291399	ABCC13
10	99782597	99819542	ABCC2
17	50634842	50667927	ABCC3
13	95019828	95186671	ABCC4
3	183919933	183985853	ABCC5
3	184006337	184011419	ABCC5-AS1
16	16149564	16221292	ABCC6
16	18571247	18598289	ABCC6P1
16	14822431	14824702	ABCC6P2
11	17392884	17453266	ABCC8
12	21797388	21936694	ABCC9
X	153724850	153744755	ABCD1
12	39530964	39620041	ABCD2
1	94418085	94478704	ABCD3
14	74285276	74300217	ABCD4
4	145098003	145129524	ABCE1
6	30571392	30591532	ABCF1
6	30563612	30571301	ABCF1-DT
7	151207836	151227030	ABCF2
3	184186074	184194007	ABCF3
21	42199688	42297244	ABCG1
4	88090263	88158859	ABCG2
11	119149039	119162653	ABCG4
2	43806153	43828071	ABCG5
2	43831941	43878466	ABCG8
2	27123779	27129606	ABHD1
3	111978875	111990773	ABHD10
7	73736093	73738383	ABHD11
7	73735068	73736000	ABHD11-AS1
20	25294742	25339351	ABHD12
14	50872089	50893254	ABHD12B
13	108218414	108234255	ABHD13
3	51975025	51981200	ABHD14A
3	51975025	51989202	ABHD14A-ACY1
3	51968509	51974630	ABHD14B
17	29560660	29567024	ABHD15
6	31686948	31703073	ABHD16A
20	63861212	63862988	ABHD16B
19	1876975	1885323	ABHD17A
9	71862451	71886414	ABHD17B
15	80695310	80755621	ABHD17C
4	127965255	128032386	ABHD18
15	89088149	89197648	ABHD2
18	21650896	21664214	ABHD3
14	22598237	22612359	ABHD4
3	43690869	43722725	ABHD5
3	58237501	58294736	ABHD6
19	17292130	17303473	ABHD8
10	26746595	26860986	ABI1
2	203325012	203427598	ABI2
17	49210226	49223225	ABI3
3	100749328	100902687	ABI3BP
9	130713880	130887675	ABL1
1	179099326	179143074	ABL2
10	114431109	114526823	ABLIM1
4	7965309	8072016	ABLIM2
5	149141446	149239169	ABLIM3
9	133255175	133275214	ABO
17	1003517	1031841	ABR
8	106759482	106770244	ABRA
6	139028681	139043302	ABRACL
4	83460938	83485095	ABRAXAS1
10	124801784	124836670	ABRAXAS2
6	26596942	26600050	ABT1
3	127672927	127680926	ABTB1
11	34150986	34358008	ABTB2
3	38122709	38133888	ACAA1
18	49783503	49813881	ACAA2
17	37084991	37299767	ACACA
12	109112665	109232801	ACACB
12	111686052	111757107	ACAD10
3	132558137	132660131	ACAD11
11	134253537	134263112	ACAD8
3	128879489	128913114	ACAD9
2	210187989	210225151	ACADL
1	75724346	75763679	ACADM
12	120725737	120740008	ACADS
10	123008912	123058290	ACADSB
17	7217124	7225266	ACADVL
15	88803441	88875353	ACAN
17	7336505	7351474	ACAP1
3	195274735	195410921	ACAP2
1	1292383	1298113	ACAP3
11	108116704	108147603	ACAT1
6	159761956	159779055	ACAT2
1	226144678	226186722	ACBD3
1	226148002	226154977	ACBD3-AS1
17	45132599	45138561	ACBD4
10	27182837	27240773	ACBD5
1	180269662	180502577	ACBD6
10	15075474	15088776	ACBD7
10	15015071	15088776	ACBD7-DCLRE1CP1
11	44066117	44077555	ACCS
11	44047980	44059977	ACCSL
16	67657511	67660811	ACD
17	63477060	63497618	ACE
X	15494519	15600960	ACE2
19	6306141	6333629	ACER1
9	19408926	19446274	ACER2
11	76860872	76997224	ACER3
7	100889993	100894554	ACHE
14	23058563	23071565	ACIN1
1	159204012	159206500	ACKR1
3	42809471	42867283	ACKR2
2	236537130	236582354	ACKR3
3	132597236	132602644	ACKR4
17	41866915	41919019	ACLY
2	134838318	134902034	ACMSD
9	32384602	32450836	ACO1
22	41468755	41528979	ACO2
13	76948558	76958642	ACOD1
14	73493020	73543794	ACOT1
1	54548133	54610332	ACOT11
5	81309044	81358614	ACOT12
6	24667034	24705069	ACOT13
14	73567619	73574407	ACOT2
14	73591705	73595766	ACOT4
14	73612275	73619888	ACOT6
1	6264271	6358944	ACOT7
20	45841720	45857371	ACOT8
X	23701054	23743287	ACOT9
17	75941506	75979133	ACOX1
3	58505135	58537159	ACOX2
4	8366262	8428481	ACOX3
2	110732538	110928517	ACOXL
2	111098340	111115588	ACOXL-AS1
2	264868	272481	ACP1
11	47239301	47248628	ACP2
19	50790414	50795224	ACP4
19	11574659	11577741	ACP5
1	147626181	147669795	ACP6
19	39083010	39111418	ACP7
3	132317366	132358846	ACPP
22	50738223	50745299	ACR
12	6638075	6647414	ACRBP
11	125672333	125680898	ACRV1
15	78167467	78202203	ACSBG1
19	6135632	6187795	ACSBG2
17	50426157	50471135	ACSF2
16	89093808	89145206	ACSF3
4	184755594	184805533	ACSL1
2	222860933	222941824	ACSL3
X	109641329	109733234	ACSL4
10	112374157	112428380	ACSL5
5	131949972	132011662	ACSL6
16	20623234	20674005	ACSM1
16	20451460	20478594	ACSM2A
16	20536757	20576316	ACSM2B
16	20742439	20786316	ACSM3
12	7304331	7328373	ACSM4
16	20409533	20419775	ACSM5
10	95194199	95228929	ACSM6
20	25006229	25032706	ACSS1
20	34874941	34927962	ACSS2
12	81078017	81216972	ACSS3
1	229431244	229434096	ACTA1
10	88935073	88952877	ACTA2
10	88932683	88939974	ACTA2-AS1
7	5527145	5530709	ACTB
5	57480015	57482809	ACTBL2
15	34788095	34795726	ACTC1
17	81509970	81512866	ACTG1
15	82725879	82739780	ACTG1P17
1	27323873	27326525	ACTG1P20
1	103569403	103571391	ACTG1P4
2	73892965	73919653	ACTG2
20	33666497	33668525	ACTL10
